主题,总题数,正确回答数,正确率 (%)
professional_accounting,175,163,93.14
legal_and_moral_basis,214,208,97.2
professional_law,211,160,75.83
elementary_commonsense,198,159,80.3
conceptual_physics,147,132,89.8
anatomy,148,123,83.11
human_sexuality,126,93,73.81
high_school_politics,143,128,89.51
high_school_mathematics,164,93,56.71
professional_medicine,376,298,79.26
philosophy,105,84,80.0
management,210,183,87.14
astronomy,165,81,49.09
public_relations,174,128,73.56
electrical_engineering,172,151,87.79
business_ethics,209,152,72.73
high_school_geography,118,99,83.9
construction_project_management,139,110,79.14
high_school_biology,169,145,85.8
chinese_teacher_qualification,179,166,92.74
security_study,135,120,88.89
genetics,176,117,66.48
international_law,185,138,74.59
economics,159,137,86.16
world_religions,160,129,80.62
college_mathematics,105,51,48.57
college_education,107,94,87.85
global_facts,149,120,80.54
college_medical_statistics,106,83,78.3
machine_learning,122,95,77.87
logical,123,98,79.67
marketing,180,159,88.33
high_school_chemistry,132,102,77.27
clinical_knowledge,237,194,81.86
college_law,108,83,76.85
college_actuarial_science,106,51,48.11
food_science,143,105,73.43
arts,160,150,93.75
college_engineering_hydrology,106,90,84.91
elementary_information_and_technology,238,226,94.96
journalism,172,137,79.65
high_school_physics,110,82,74.55
chinese_foreign_policy,107,84,78.5
elementary_mathematics,230,146,63.48
world_history,161,143,88.82
sports_science,165,124,75.15
virology,169,149,88.17
education,163,131,80.37
chinese_driving_rule,131,130,99.24
nutrition,145,120,82.76
professional_psychology,232,205,88.36
college_medicine,273,240,87.91
marxist_theory,189,181,95.77
jurisprudence,411,361,87.83
sociology,226,184,81.42
agronomy,169,119,70.41
computer_security,171,157,91.81
computer_science,204,181,88.73
